,year,month,sales,iso_alpha
24,2014,1,40489,ARE
82,2014,2,38774,ARE
142,2014,3,40539,ARE
201,2014,4,39702,ARE
260,2014,5,41801,ARE
318,2014,6,40310,ARE
377,2014,7,34546,ARE
435,2014,8,40447,ARE
496,2014,9,33935,ARE
560,2014,10,25443,ARE
614,2014,11,31714,ARE
669,2014,12,41561,ARE
731,2015,1,38272,ARE
790,2015,2,44085,ARE
851,2015,3,43908,ARE
911,2015,4,47602,ARE
974,2015,5,44773,ARE
1035,2015,6,46647,ARE
1097,2015,7,38605,ARE
1156,2015,8,48788,ARE
1219,2015,9,38876,ARE
1278,2015,10,50218,ARE
1339,2015,11,46807,ARE
1400,2015,12,44708,ARE
1463,2016,1,44145,ARE
1522,2016,2,41445,ARE
1584,2016,3,44414,ARE
1643,2016,4,44938,ARE
1705,2016,5,43733,ARE
1768,2016,6,39437,ARE
1828,2016,7,37239,ARE
1895,2016,8,25452,ARE
1958,2016,9,23446,ARE
2018,2016,10,24354,ARE
2080,2016,11,24439,ARE
2141,2016,12,25956,ARE
2206,2017,1,21367,ARE
2266,2017,2,20933,ARE
2330,2017,3,23463,ARE
2395,2017,4,19668,ARE
2458,2017,5,21040,ARE
2518,2017,6,25802,ARE
2581,2017,7,20622,ARE
2642,2017,8,21027,ARE
2702,2017,9,21179,ARE
2763,2017,10,24667,ARE
2826,2017,11,22870,ARE
2885,2017,12,28767,ARE
2958,2018,1,15911,ARE
3020,2018,2,13272,ARE
3083,2018,3,17509,ARE
3144,2018,4,17229,ARE
3204,2018,5,21560,ARE
3263,2018,6,22456,ARE
3329,2018,7,17114,ARE
3391,2018,8,17799,ARE
3448,2018,9,19487,ARE
3514,2018,10,20232,ARE
3575,2018,11,19179,ARE
3636,2018,12,19980,ARE
3699,2019,1,18712,ARE
3763,2019,2,17609,ARE
3824,2019,3,21691,ARE
3889,2019,4,18079,ARE
3944,2019,5,22704,ARE
4011,2019,6,19721,ARE
4076,2019,7,15875,ARE
4134,2019,8,17313,ARE
4192,2019,9,20433,ARE
4256,2019,10,20235,ARE
4318,2019,11,20357,ARE
4382,2019,12,18104,ARE
4444,2020,1,16293,ARE
4503,2020,2,17008,ARE
4565,2020,3,13727,ARE
4623,2020,4,5724,ARE
4685,2020,5,9946,ARE
4757,2020,6,9440,ARE
4821,2020,7,10213,ARE
4882,2020,8,10306,ARE
4941,2020,9,13052,ARE
5003,2020,10,12757,ARE
5064,2020,11,13879,ARE
5125,2020,12,13800,ARE
5185,2021,1,14181,ARE
5244,2021,2,13956,ARE
5307,2021,3,16686,ARE
5368,2021,4,16192,ARE
5424,2021,5,17718,ARE
5485,2021,6,16155,ARE
5883,2022,1,14848,ARE
5939,2022,2,15308,ARE
6000,2022,3,17904,ARE
6054,2022,4,16708,ARE
6112,2022,5,17225,ARE
6171,2022,6,18814,ARE
11,2014,1,107907,ARG
78,2014,2,57657,ARG
140,2014,3,50857,ARG
