,year,month,sales,iso_alpha,consumer_price,populations,gdp
24,2014,1,40489,ARE,105.072324180443,8835951.0,414105366758.911
82,2014,2,38774,ARE,105.42869151022725,8842696.666666666,410452875325.68225
142,2014,3,40539,ARE,105.7850588400115,8849442.333333334,406800383892.4535
201,2014,4,39702,ARE,106.14142616979575,8856188.0,403147892459.22473
260,2014,5,41801,ARE,106.49779349958,8862933.666666666,399495401025.99603
318,2014,6,40310,ARE,106.85416082936425,8869679.333333334,395842909592.7673
377,2014,7,34546,ARE,107.21052815914851,8876425.0,392190418159.5385
435,2014,8,40447,ARE,107.56689548893276,8883170.666666666,388537926726.30975
496,2014,9,33935,ARE,107.923262818717,8889916.333333334,384885435293.081
560,2014,10,25443,ARE,108.27963014850125,8896662.0,381232943859.8523
614,2014,11,31714,ARE,108.6359974782855,8903407.666666666,377580452426.62354
669,2014,12,41561,ARE,108.99236480806975,8910153.333333334,373927960993.3948
731,2015,1,38272,ARE,109.348732137854,8916899.0,370275469560.166
790,2015,2,44085,ARE,109.496124031008,8923346.0,370190457616.46643
851,2015,3,43908,ARE,109.643515924162,8929793.0,370105445672.76685
911,2015,4,47602,ARE,109.790907817316,8936240.0,370020433729.06726
974,2015,5,44773,ARE,109.93829971047,8942687.0,369935421785.3677
1035,2015,6,46647,ARE,110.085691603624,8949134.0,369850409841.6681
1097,2015,7,38605,ARE,110.233083496778,8955581.0,369765397897.9685
1156,2015,8,48788,ARE,110.380475389932,8962028.0,369680385954.2689
1219,2015,9,38876,ARE,110.527867283086,8968475.0,369595374010.56934
1278,2015,10,50218,ARE,110.67525917624,8974922.0,369510362066.86975
1339,2015,11,46807,ARE,110.822651069394,8981369.0,369425350123.17017
1400,2015,12,44708,ARE,110.970042962548,8987816.0,369340338179.4706
1463,2016,1,44145,ARE,111.117434855702,8994263.0,369255326235.771
1522,2016,2,41445,ARE,111.29955869991609,9000432.416666666,371027116050.83185
1584,2016,3,44414,ARE,111.48168254413017,9006601.833333334,372798905865.89264
1643,2016,4,44938,ARE,111.66380638834426,9012771.25,374570695680.9535
1705,2016,5,43733,ARE,111.84593023255833,9018940.666666666,376342485496.01434
1768,2016,6,39437,ARE,112.02805407677242,9025110.083333334,378114275311.07513
1828,2016,7,37239,ARE,112.2101779209865,9031279.5,379886065126.136
1895,2016,8,25452,ARE,112.39230176520059,9037448.916666666,381657854941.19684
1958,2016,9,23446,ARE,112.57442560941467,9043618.333333334,383429644756.2576
2018,2016,10,24354,ARE,112.75654945362875,9049787.75,385201434571.3185
2080,2016,11,24439,ARE,112.93867329784284,9055957.166666666,386973224386.37933
2141,2016,12,25956,ARE,113.12079714205692,9062126.583333334,388745014201.4401
2206,2017,1,21367,ARE,113.302920986271,9068296.0,390516804016.501
2266,2017,2,20933,ARE,113.59265862971242,9074285.416666666,393561189694.238
2330,2017,3,23463,ARE,113.88239627315383,9080274.833333334,396605575371.975
2395,2017,4,19668,ARE,114.17213391659526,9086264.25,399649961049.712
2458,2017,5,21040,ARE,114.46187156003667,9092253.666666666,402694346727.449
2518,2017,6,25802,ARE,114.75160920347808,9098243.083333334,405738732405.186
2581,2017,7,20622,ARE,115.04134684691951,9104232.5,408783118082.923
2642,2017,8,21027,ARE,115.33108449036092,9110221.916666666,411827503760.66
2702,2017,9,21179,ARE,115.62082213380233,9116211.333333334,414871889438.397
2763,2017,10,24667,ARE,115.91055977724375,9122200.75,417916275116.134
2826,2017,11,22870,ARE,116.20029742068516,9128190.166666666,420960660793.871
2885,2017,12,28767,ARE,116.49003506412659,9134179.583333334,424005046471.608
2958,2018,1,15911,ARE,116.779772707568,9140169.0,427049432149.345
3020,2018,2,13272,ARE,116.59184669296592,9146126.333333334,426294456281.44073
3083,2018,3,17509,ARE,116.40392067836383,9152083.666666666,425539480413.5365
3144,2018,4,17229,ARE,116.21599466376175,9158041.0,424784504545.6322
3204,2018,5,21560,ARE,116.02806864915966,9163998.333333334,424029528677.72797
3263,2018,6,22456,ARE,115.84014263455758,9169955.666666666,423274552809.8237
3329,2018,7,17114,ARE,115.65221661995551,9175913.0,422519576941.9195
3391,2018,8,17799,ARE,115.46429060535343,9181870.333333334,421764601074.01526
3448,2018,9,19487,ARE,115.27636459075134,9187827.666666666,421009625206.111
3514,2018,10,20232,ARE,115.08843857614926,9193785.0,420254649338.2068
3575,2018,11,19179,ARE,114.90051256154717,9199742.333333334,419499673470.3025
3636,2018,12,19980,ARE,114.71258654694509,9205699.666666666,418744697602.39825
3699,2019,1,18712,ARE,114.524660532343,9211657.0,417989721734.494
3763,2019,2,17609,ARE,114.32620807964985,9217959.666666666,412279996201.36444
3824,2019,3,21691,ARE,114.12775562695667,9224262.333333334,406570270668.23486
3889,2019,4,18079,ARE,113.92930317426351,9230565.0,400860545135.1053
3944,2019,5,22704,ARE,113.73085072157033,9236867.666666666,395150819601.9757
4011,2019,6,19721,ARE,113.53239826887717,9243170.333333334,389441094068.8461
4076,2019,7,15875,ARE,113.33394581618401,9249473.0,383731368535.71655
4134,2019,8,17313,ARE,113.13549336349084,9255775.666666666,378021643002.5869
4192,2019,9,20433,ARE,112.93704091079768,9262078.333333334,372311917469.45734
